map_name,hero,Healing Done,Time Played,Healing per Second
Blizzard World,Ana,882485.9213675484,56248.92569378391,15.688938241625339
Blizzard World,Baptiste,1340035.6939008452,69727.07266861296,19.218298468796192
Blizzard World,Brigitte,1328340.9139344736,97261.28610986964,13.657447552502388
Blizzard World,Lúcio,845919.2476326161,84350.36609806823,10.02863753607335
Blizzard World,Mercy,1821666.7492797202,104110.59939008707,17.49741870617999
Blizzard World,Moira,305127.7601441607,12889.003650801957,23.67349474101325
Blizzard World,Zenyatta,2115201.376858993,175629.86267658937,12.04351779716411
Busan,Ana,878494.5978068603,59537.599378882456,14.755290891329688
Busan,Baptiste,940482.7706663854,49485.5169327792,19.005212614913795
Busan,Brigitte,1568851.0013377836,105767.46476041026,14.833020767696599
Busan,Lúcio,1750479.7892020326,161588.680265629,10.832935737357907
Busan,Mercy,341761.8090584765,24979.175451212803,13.681869112372285
Busan,Moira,1891785.6509110648,72539.96523880417,26.079219154341175
Busan,Zenyatta,1220251.3710051589,89598.64923011605,13.619082223786538
Dorado,Ana,1126353.6149177854,79186.86983077032,14.223994676452138
Dorado,Baptiste,178181.6733552471,11466.677515904334,15.539084718141616
Dorado,Brigitte,1377382.8160380349,104527.21781755848,13.17726468566412
Dorado,Lúcio,840567.7101321197,92573.60705284572,9.07999306597485
Dorado,Mercy,2537378.4379796456,157982.06391278427,16.061180460209922
Dorado,Moira,393141.6704377382,16818.609894307338,23.375396237165024
Dorado,Zenyatta,2062172.6627613278,172924.5336117653,11.92527526135264
Eichenwalde,Ana,1108728.612281667,72909.43712926576,15.206928704111814
Eichenwalde,Baptiste,1047880.3655174987,50283.91410308448,20.83927602312924
Eichenwalde,Brigitte,1487757.0844158626,103036.33359447241,14.439150079537344
Eichenwalde,Lúcio,1260234.7351488285,121279.45124153039,10.39116455630267
Eichenwalde,Mercy,1478361.739723307,91412.15075417657,16.172486124945063
Eichenwalde,Moira,763132.693649678,29562.114450032437,25.814550408414398
Eichenwalde,Zenyatta,1518269.972178026,116826.33875418763,12.99595612058504
Hanamura,Ana,1500410.0847719763,107754.78616049154,13.924301075009733
Hanamura,Baptiste,1371993.4614296625,78645.31417789868,17.445330033600747
Hanamura,Brigitte,1238924.623731528,98032.31637330935,12.637920530345054
Hanamura,Lúcio,1196522.027019633,116829.73264161895,10.241588335137463
Hanamura,Mercy,1331049.612002781,91394.87956584129,14.563721931969797
Hanamura,Moira,692201.8780608957,31230.89243805863,22.164012105442232
Hanamura,Zenyatta,1718567.4267646046,154153.9789920733,11.14838188414828
Havana,Ana,653769.7664571195,43238.98734334385,15.119913916248548
