map_name,hero,Damage Blocked,Time Played,Damage Blocked per Second
Blizzard World,All Heroes,12786045.844614495,1627530.787472908,7.856100752765227
Blizzard World,Brigitte,562034.2795051375,97261.28610986964,5.778602175486807
Blizzard World,D.Va,2665173.1774548185,173044.40576297778,15.401671991092027
Blizzard World,Mei,576162.7195790804,58027.094361348114,9.929201624178907
Blizzard World,Orisa,3229830.2058299067,82833.8397123624,38.9916755886891
Blizzard World,Reinhardt,2400488.551343207,69179.7532137383,34.69929336010551
Blizzard World,Sigma,970785.7836347917,38865.53900354765,24.978060475275495
Blizzard World,Symmetra,4967.6120084524155,1110.5484760985876,4.473115866048356
Blizzard World,Winston,1755421.0194750966,102302.43707676088,17.159131978038282
Blizzard World,Zarya,601115.3171581158,54669.00003488966,10.995542570277216
Busan,All Heroes,11539179.044045126,1516860.1886942035,7.607279253586769
Busan,Brigitte,550861.8268448521,105767.46476041026,5.208235141994674
Busan,D.Va,1950708.53556964,124429.54081566702,15.677213970109138
Busan,Mei,460102.10501212016,47174.34649245791,9.753226896013915
Busan,Orisa,2831439.9664947772,85267.08152449768,33.206718417837365
Busan,Reinhardt,2362818.2614988917,68907.47089501261,34.28972549433545
Busan,Sigma,1886852.8173697863,77850.56324200096,24.236855056583778
Busan,Symmetra,17140.285446494647,3010.386367568535,5.693716139280393
Busan,Winston,781212.7681379546,45570.10752706752,17.143096879328922
Busan,Zarya,684714.9591159392,61903.470736152245,11.061010812049005
Dorado,All Heroes,11318825.013574177,1683407.1854925258,6.7237594749024145
Dorado,Brigitte,565241.3816111276,104527.21781755848,5.407599986040941
Dorado,D.Va,2715322.9086119756,199073.83193573097,13.639778177819931
Dorado,Mei,132145.6347615708,16463.82299835191,8.026424650872345
Dorado,Orisa,2091721.9458079934,55573.54533402016,37.63880697615877
Dorado,Reinhardt,2489423.6981144683,80316.78351643907,30.99506216661351
Dorado,Sigma,531466.9481299802,22272.835414229827,23.86166548828502
Dorado,Symmetra,211.0,208.2956706356375,1.0129831280511494
Dorado,Winston,2006762.1684473427,121549.27522125628,16.509865359496644
Dorado,Zarya,771779.0074472026,76630.49306473967,10.07143470674502
Eichenwalde,All Heroes,12307213.165370459,1585315.0839899331,7.763259991443197
Eichenwalde,Brigitte,543274.4475120285,103036.33359447241,5.27264925448758
Eichenwalde,D.Va,2563439.115374485,163919.19278613233,15.638431789491788
Eichenwalde,Mei,348072.0366313235,37623.18843251553,9.251529472459731
Eichenwalde,Orisa,2289270.7746473514,66073.86982024377,34.64714237073432
Eichenwalde,Reinhardt,2962598.5266639884,92068.16883255447,32.17831487505854
Eichenwalde,Sigma,1095685.9543535444,43336.867433335385,25.28299850096516
Eichenwalde,Symmetra,5803.80973470231,1059.0113206422373,5.480403864977186
Eichenwalde,Winston,1589636.3700021645,92644.11110293143,17.158525793787508
Eichenwalde,Zarya,884018.428794933,80841.21372650449,10.935244388903824
