map_name,hero,Ultimate Kills,Ultimates Used,Kills per Ult
Watchpoint: Gibraltar,Bastion,24.0,23.0,1.0434782608695652
Watchpoint: Gibraltar,D.Va,405.0,1355.0,0.2988929889298893
Watchpoint: Gibraltar,Doomfist,47.0,89.0,0.5280898876404494
Watchpoint: Gibraltar,Echo,143.0,295.0,0.4847457627118644
Watchpoint: Gibraltar,Genji,432.0,366.0,1.180327868852459
Watchpoint: Gibraltar,Hanzo,43.0,124.0,0.3467741935483871
Watchpoint: Gibraltar,Junkrat,16.0,26.0,0.6153846153846154
Watchpoint: Gibraltar,McCree,46.0,97.0,0.4742268041237113
Watchpoint: Gibraltar,Mei,77.0,43.0,1.7906976744186047
Watchpoint: Gibraltar,Moira,227.0,270.0,0.8407407407407408
Watchpoint: Gibraltar,Orisa,403.0,141.0,2.858156028368794
Watchpoint: Gibraltar,Pharah,22.0,19.0,1.1578947368421053
Watchpoint: Gibraltar,Reaper,85.0,79.0,1.0759493670886076
Watchpoint: Gibraltar,Reinhardt,248.0,376.0,0.6595744680851063
Watchpoint: Gibraltar,Roadhog,32.0,32.0,1.0
Watchpoint: Gibraltar,Sigma,130.0,170.0,0.7647058823529411
Watchpoint: Gibraltar,Soldier: 76,33.0,55.0,0.6
Watchpoint: Gibraltar,Torbjörn,10.0,26.0,0.38461538461538464
Watchpoint: Gibraltar,Tracer,376.0,995.0,0.3778894472361809
Watchpoint: Gibraltar,Winston,837.0,1404.0,0.5961538461538461
Watchpoint: Gibraltar,Wrecking Ball,28.0,59.0,0.4745762711864407
Watchpoint: Gibraltar,Zarya,809.0,667.0,1.2128935532233882
